new_x	new_y	new_z	new_type	new_ds	N-w	pc	N_un
425555.261	4376544.624	2.027392813154974	1	0.5068482032887435	-0.8924219977457217	100	9.56948918910871
425555.261	4376544.624	2.027392813154974	1	1.5205446098662303	-0.8316278303224559	100	10.156247127619
425555.261	4376544.624	5.686283497529317	2	2.94211548424856	-0.7009964309015458	10	11.4896262896847
425555.261	4376544.624	5.686283497529317	2	4.771560826435731	-0.472112182180006	10	14.0631106128213
425555.261	4376544.624	6.532344103592008	3	6.109313800560662	-0.2814023719069459	3	16.4340132015322
425555.261	4376544.624	8.182825054232216	1	7.357584578912112	-0.1022622510954019	100	18.8433778182596
425555.261	4376544.624	9.53597106817659	2	8.859398061204402	0.0974114577753465	10	21.7297450570058
425555.261	4376544.624	10.92465128469505	3	10.23031117643582	0.253143256926874	3	24.1222713708723
425555.261	4376544.624	12.68768158772532	1	11.806166436210184	0.3949239214633409	100	26.4039925494587
425555.261	4376544.624	13.5169208309332	2	13.10230120932926	0.4828214148044057	10	27.8665067129694
425555.261	4376544.624	15.09963061016932	3	14.30827572055126	0.5444994719747777	3	28.9141178521573
425555.261	4376544.624	17.00103997330786	1	16.05033529173859	0.6049002376772852	100	29.9567865252767
425555.261	4376544.624	17.27138891898484	2	17.13621444614635	0.6268381174593673	10	30.3395399217463
425555.261	4376544.624	18.58250151922693	3	17.926945219105885	0.634990286086682	3	30.4823175345904
425555.261	4376544.624	19.66917849026403	1	19.12584000474548	0.6335685485330806	100	30.4573959054055
425555.261	4376544.624	19.90806737915291	2	19.78862293470847	0.6250128656056734	10	30.3076127683331
